Person_ID,Name_Eng,Name_Chn,Index_Year/01/01 00:00,Sex,Birth_Year,Death_Year,Posting_Name_Eng,Posting_Name_Chn,Posting_First_Year,Posting_Last_Year,Posting_Type,X,Y
173,Zhang Anshang,張安上,1017/01/01 00:00,M,unknown,unknown,Chang Zhou,常州,960,1279,Zhou,119.952301,31.78278351
173,Zhang Anshang,張安上,1017/01/01 00:00,M,unknown,unknown,En Zhou,恩州,960,1047,Zhou,111.958946,21.845419
173,Zhang Anshang,張安上,1017/01/01 00:00,M,unknown,unknown,En Zhou,恩州,960,1126,Zhou,115.624107,37.073032
173,Zhang Anshang,張安上,1017/01/01 00:00,M,unknown,unknown,Qianning Jun,乾寧軍,982,1126,Jun,116.825432,38.580715
174,Zhang Chan,張闡,1095/01/01 00:00,M,unknown,unknown,Quan Zhou,泉州,960,1279,Zhou,118.5899048,24.90964127
175,Zhang Chang,張昌,988/01/01 00:00,M,unknown,unknown,Jian'an Jun,建安軍,965,1012,Jun,119.177627,32.267544
175,Zhang Chang,張昌,1119/01/01 00:00,M,unknown,unknown,Tai Zhou,台州,960,1279,Zhou,121.1205978,28.84313202
175,Zhang Chang,張昌,1119/01/01 00:00,M,unknown,unknown,Ting Zhou,汀州,960,1279,Zhou,116.3495407,25.83338165
175,Zhang Chang,張昌,1119/01/01 00:00,M,unknown,unknown,Lian Zhou,連州,960,1279,Zhou,112.378121,24.779701
175,Zhang Chang,張昌,1119/01/01 00:00,M,unknown,unknown,Chu Zhou,楚州,960,1279,Zhou,119.1411057,33.50278854
178,Zhang Cheng,張澄,1094/01/01 00:00,M,unknown,1153,Qiantang,錢塘,979,1279,Xian,120.168625,30.294125
178,Zhang Cheng,張澄,1094/01/01 00:00,M,unknown,1153,Sheng Zhou,昇州,976,1017,Zhou,118.76899,32.052563
178,Zhang Cheng,張澄,1094/01/01 00:00,M,unknown,1153,Hong Zhou,洪州,960,1279,Zhou,115.8977203,28.67489624
178,Zhang Cheng,張澄,1094/01/01 00:00,M,unknown,1153,Wen Zhou,溫州,960,1279,Zhou,120.6532211,28.01829147
178,Zhang Cheng,張澄,1094/01/01 00:00,M,unknown,1153,Fu Zhou,福州,960,1279,Zhou,119.321577,26.073954
178,Zhang Cheng,張澄,1094/01/01 00:00,M,unknown,1153,Lin'an Fu,臨安府,1129,1279,Fu,120.168625,30.294125
178,Zhang Cheng,張澄,1094/01/01 00:00,M,unknown,1153,Lin'an Fu,臨安府,1129,1279,Fu,120.168625,30.294125
